Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Worlds 2026 Stage 6 - Lower 8 game 12,2026-08-04,wolvs,209,Andiii,155,Pitor,129.0,Lech,97.0,4
Worlds 2026 Stage 6 - Lower 8 game 11,2026-08-06,Pitor,240,wolvs,195,Lech,191.0,Andiii,160.0,4
Worlds 2026 Stage 6 - Lower 4 game 12,2026-08-09,Doobie,256,Cogito3,250,lhrljr,243.0,takusto_II,241.0,4
Worlds 2026 Stage 6 - Lower 5 game 12,2026-08-09,zoldaria,300,AaronGreen,292,Jaracz,278.0,zadokk,274.0,4
Worlds 2026 Stage 6 - Lower 4 game 11,2026-08-10,lhrljr,236,Cogito3,176,Doobie,136.0,takusto_II,-4.0,4
Worlds 2026 Stage 6 - Lower 5 game 11,2026-08-11,zoldaria,276,Jaracz,249,AaronGreen,199.0,zadokk,178.0,4
Worlds 2026 Stage 6 - Lower 8 game 9,2026-08-12,Lech,247,Pitor,145,wolvs,142.0,,,3
Worlds 2026 Stage 6 - Lower 4 game 7,2026-08-13,Doobie,149,lhrljr,141,takusto_II,85.0,,,3
Worlds 2026 Stage 6 - Lower 8 game 8,2026-08-13,wolvs,166,Lech,122,Andiii,120.0,,,3
Worlds 2026 Stage 6 - Lower 7 game 11,2026-08-14,pv4,215,Grozz,208,maximpodg,178.0,Vovka,-5.0,4
Worlds 2026 Stage 6 - Lower 9 game 12,2026-08-14,Dantes,259,ERock37,190,Spartan1337,172.0,Turdle,-4.0,4
Worlds 2026 Stage 6 - Lower 2 game 11,2026-08-15,kyshantry,215,Sylvain,190,FCKAFD,182.0,IdkIdcIdgaf,180.0,4
Worlds 2026 Stage 6 - Lower 8 game 7,2026-08-15,wolvs,283,Pitor,232,Andiii,209.0,,,3
Worlds 2026 Stage 6 - Lower 9 game 11,2026-08-15,Spartan1337,307,Turdle,285,ERock37,276.0,Dantes,273.0,4
Worlds 2026 Stage 6 - Lower 3 game 9,2026-08-16,Weidenbaum,53,Majondor,-2,Eske,-3.0,,,3
Worlds 2026 Stage 6 - Lower 8 game 10,2026-08-16,Pitor,114,Andiii,104,Lech,88.0,,,3
Worlds 2026 Stage 6 - Lower 2 game 12,2026-08-17,Sylvain,229,FCKAFD,193,IdkIdcIdgaf,160.0,kyshantry,143.0,4
Worlds 2026 Stage 6 - Lower 3 game 10,2026-08-17,Eske,213,Weidenbaum,205,GerisNezus,124.0,,,3
Worlds 2026 Stage 6 - Lower 3 game 11,2026-08-17,Weidenbaum,248,Eske,188,GerisNezus,179.0,Majondor,156.0,4
Worlds 2026 Stage 6 - Lower 5 game 8,2026-08-17,Jaracz,130,AaronGreen,90,zoldaria,63.0,,,3
Worlds 2026 Stage 6 - Lower 7 game 10,2026-08-17,maximpodg,271,pv4,257,Vovka,-5.0,,,3
Worlds 2026 Stage 6 - Lower 7 game 7,2026-08-17,maximpodg,184,Grozz,176,pv4,152.0,,,3
Worlds 2026 Stage 6 - Lower 1 game 9,2026-08-18,bluecube,213,tianren4561367,200,DANeo,175.0,,,3
Worlds 2026 Stage 6 - Lower 2 game 7,2026-08-18,kyshantry,266,IdkIdcIdgaf,129,Sylvain,119.0,,,3
Worlds 2026 Stage 6 - Lower 6 game 12,2026-08-18,totsilence,228,Lander90,211,dannyboy14,197.0,Gutemetralla,177.0,4
Worlds 2026 Stage 6 - Lower 7 game 8,2026-08-18,Grozz,322,maximpodg,301,Vovka,-5.0,,,3
Worlds 2026 Stage 6 - Lower 1 game 11,2026-08-19,Michiel,155,tianren4561367,152,bluecube,127.0,DANeo,-4.0,4
Worlds 2026 Stage 6 - Lower 1 game 12,2026-08-19,Michiel,245,bluecube,238,DANeo,226.0,tianren4561367,208.0,4
Worlds 2026 Stage 6 - Lower 7 game 12,2026-08-19,pv4,298,maximpodg,274,Grozz,200.0,Vovka,-5.0,4
Worlds 2026 Stage 6 - Lower 7 game 9,2026-08-19,Grozz,207,pv4,128,Vovka,-5.0,,,3
Worlds 2026 Stage 6 - Lower 8 game 6,2026-08-19,wolvs,196,Lech,114,,,,,2
Worlds 2026 Stage 6 - Lower 3 game 12,2026-08-20,Weidenbaum,317,Majondor,247,Eske,201.0,GerisNezus,192.0,4
Worlds 2026 Stage 6 - Lower 3 game 8,2026-08-20,Majondor,201,Eske,181,GerisNezus,135.0,,,3
Worlds 2026 Stage 6 - Lower 8 game 1,2026-08-20,Pitor,159,Andiii,146,,,,,2
Worlds 2026 Stage 6 - Lower 8 game 2,2026-08-20,Pitor,213,wolvs,204,,,,,2
Worlds 2026 Stage 6 - Lower 8 game 3,2026-08-20,Pitor,286,Lech,247,,,,,2
Worlds 2026 Stage 6 - Lower 8 game 4,2026-08-20,wolvs,217,Andiii,178,,,,,2
Worlds 2026 Stage 6 - Lower 8 game 5,2026-08-20,Lech,159,Andiii,148,,,,,2
Worlds 2026 Stage 6 - Upper SF game 11,2026-08-20,a440,214,SandHippo,186,Martin_Pecheur,151.0,Wawrzyniec,120.0,4
Worlds 2026 Stage 6 - Lower 5 game 9,2026-08-21,zoldaria,188,zadokk,176,AaronGreen,141.0,,,3
Worlds 2026 Stage 6 - Lower 9 game 10,2026-08-21,Turdle,221,Dantes,179,ERock37,173.0,,,3
Worlds 2026 Stage 6 - Lower 1 game 2,2026-08-22,DANeo,169,tianren4561367,161,,,,,2
Worlds 2026 Stage 6 - Upper SF game 12,2026-08-22,Wawrzyniec,197,Martin_Pecheur,172,a440,172.0,SandHippo,171.0,4
Worlds 2026 Stage 6 - Upper SF game 8,2026-08-22,Wawrzyniec,129,Martin_Pecheur,91,SandHippo,67.0,,,3
Worlds 2026 Stage 6 - Lower 5 game 5,2026-08-23,Jaracz,198,zoldaria,118,,,,,2
Worlds 2026 Stage 6 - Lower 5 game 6,2026-08-23,AaronGreen,110,zoldaria,99,,,,,2
Worlds 2026 Stage 6 - Lower 7 game 1,2026-08-23,pv4,146,maximpodg,101,,,,,2
Worlds 2026 Stage 6 - Lower 3 game 1,2026-08-24,Weidenbaum,123,GerisNezus,-2,,,,,2
Worlds 2026 Stage 6 - Lower 3 game 7,2026-08-24,Weidenbaum,290,Majondor,254,GerisNezus,205.0,,,3
Worlds 2026 Stage 6 - Lower 4 game 1,2026-08-24,Doobie,154,lhrljr,147,,,,,2
Worlds 2026 Stage 6 - Lower 5 game 10,2026-08-24,Jaracz,242,zadokk,199,zoldaria,161.0,,,3
Worlds 2026 Stage 6 - Lower 5 game 7,2026-08-24,Jaracz,150,zadokk,116,AaronGreen,115.0,,,3
Worlds 2026 Stage 6 - Lower 9 game 7,2026-08-24,Dantes,308,Spartan1337,267,Turdle,224.0,,,3
Worlds 2026 Stage 6 - Lower 5 game 4,2026-08-25,Jaracz,272,AaronGreen,120,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 3,2026-08-26,tianren4561367,223,bluecube,198,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 8,2026-08-26,DANeo,265,bluecube,208,Michiel,-5.0,,,3
Worlds 2026 Stage 6 - Lower 4 game 4,2026-08-26,takusto_II,227,Doobie,192,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 11,2026-08-26,dannyboy14,208,Gutemetralla,193,totsilence,171.0,Lander90,129.0,4
Worlds 2026 Stage 6 - Lower 7 game 2,2026-08-26,pv4,176,Grozz,171,,,,,2
Worlds 2026 Stage 6 - Lower 7 game 4,2026-08-26,maximpodg,134,Grozz,125,,,,,2
Worlds 2026 Stage 6 - Lower 9 game 2,2026-08-26,Turdle,257,Spartan1337,208,,,,,2
Worlds 2026 Stage 6 - Upper SF game 10,2026-08-26,a440,243,SandHippo,178,Wawrzyniec,160.0,,,3
Worlds 2026 Stage 6 - Upper SF game 6,2026-08-26,Martin_Pecheur,264,Wawrzyniec,225,,,,,2
Worlds 2026 Stage 6 - Upper SF game 7,2026-08-26,SandHippo,221,a440,171,Martin_Pecheur,168.0,,,3
Worlds 2026 Stage 6 - Upper SF game 9,2026-08-26,a440,113,Martin_Pecheur,112,Wawrzyniec,96.0,,,3
Worlds 2026 Stage 6 - Lower 3 game 5,2026-08-27,Eske,168,GerisNezus,141,,,,,2
Worlds 2026 Stage 6 - Lower 4 game 8,2026-08-27,Doobie,228,takusto_II,188,Cogito3,157.0,,,3
Worlds 2026 Stage 6 - Lower 9 game 1,2026-08-27,Turdle,255,Dantes,227,,,,,2
Worlds 2026 Stage 6 - Lower 9 game 9,2026-08-27,ERock37,229,Turdle,206,Spartan1337,183.0,,,3
Worlds 2026 Stage 6 - Upper SF game 2,2026-08-27,a440,148,Martin_Pecheur,144,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 10,2026-08-28,Michiel,224,bluecube,201,tianren4561367,201.0,,,3
Worlds 2026 Stage 6 - Lower 2 game 4,2026-08-28,kyshantry,253,Sylvain,208,,,,,2
Worlds 2026 Stage 6 - Lower 3 game 3,2026-08-28,Eske,247,Weidenbaum,233,,,,,2
Worlds 2026 Stage 6 - Lower 3 game 6,2026-08-28,Eske,211,Majondor,196,,,,,2
Worlds 2026 Stage 6 - Lower 4 game 10,2026-08-28,Cogito3,297,lhrljr,172,Doobie,113.0,,,3
Worlds 2026 Stage 6 - Lower 6 game 7,2026-08-28,dannyboy14,310,Lander90,265,totsilence,220.0,,,3
Worlds 2026 Stage 6 - Upper SF game 4,2026-08-28,SandHippo,121,Martin_Pecheur,-2,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 6,2026-08-29,DANeo,241,bluecube,169,,,,,2
Worlds 2026 Stage 6 - Lower 2 game 3,2026-08-29,FCKAFD,108,IdkIdcIdgaf,-2,,,,,2
Worlds 2026 Stage 6 - Lower 2 game 6,2026-08-29,kyshantry,79,FCKAFD,48,,,,,2
Worlds 2026 Stage 6 - Lower 2 game 9,2026-08-29,kyshantry,159,IdkIdcIdgaf,133,FCKAFD,118.0,,,3
Worlds 2026 Stage 6 - Lower 3 game 2,2026-08-29,Weidenbaum,151,Majondor,145,,,,,2
Worlds 2026 Stage 6 - Upper SF game 1,2026-08-29,a440,78,SandHippo,-2,,,,,2
Worlds 2026 Stage 6 - Upper SF game 5,2026-08-29,SandHippo,62,Wawrzyniec,-2,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 7,2026-08-30,DANeo,275,tianren4561367,246,Michiel,215.0,,,3
Worlds 2026 Stage 6 - Lower 2 game 1,2026-08-30,IdkIdcIdgaf,159,Sylvain,151,,,,,2
Worlds 2026 Stage 6 - Lower 3 game 4,2026-08-30,GerisNezus,169,Majondor,136,,,,,2
Worlds 2026 Stage 6 - Lower 4 game 9,2026-08-30,lhrljr,190,Cogito3,163,takusto_II,141.0,,,3
Worlds 2026 Stage 6 - Lower 6 game 10,2026-08-30,totsilence,189,Lander90,143,Gutemetralla,119.0,,,3
Worlds 2026 Stage 6 - Lower 9 game 3,2026-08-30,ERock37,221,Turdle,123,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 1,2026-08-31,Michiel,212,tianren4561367,207,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 4,2026-08-31,DANeo,226,Michiel,157,,,,,2
Worlds 2026 Stage 6 - Lower 1 game 5,2026-08-31,Michiel,82,bluecube,-2,,,,,2
Worlds 2026 Stage 6 - Lower 2 game 10,2026-08-31,IdkIdcIdgaf,149,FCKAFD,132,Sylvain,118.0,,,3
Worlds 2026 Stage 6 - Lower 2 game 2,2026-08-31,IdkIdcIdgaf,99,kyshantry,88,,,,,2
Worlds 2026 Stage 6 - Lower 2 game 5,2026-08-31,FCKAFD,222,Sylvain,149,,,,,2
Worlds 2026 Stage 6 - Lower 2 game 8,2026-08-31,FCKAFD,121,kyshantry,110,Sylvain,108.0,,,3
Worlds 2026 Stage 6 - Lower 4 game 2,2026-08-31,lhrljr,168,takusto_II,154,,,,,2
Worlds 2026 Stage 6 - Lower 4 game 3,2026-08-31,Cogito3,289,lhrljr,264,,,,,2
Worlds 2026 Stage 6 - Lower 4 game 5,2026-08-31,Cogito3,177,Doobie,139,,,,,2
Worlds 2026 Stage 6 - Lower 4 game 6,2026-08-31,takusto_II,188,Cogito3,175,,,,,2
Worlds 2026 Stage 6 - Lower 5 game 1,2026-08-31,Jaracz,197,zadokk,162,,,,,2
Worlds 2026 Stage 6 - Lower 5 game 2,2026-08-31,zadokk,213,AaronGreen,210,,,,,2
Worlds 2026 Stage 6 - Lower 5 game 3,2026-08-31,zoldaria,175,zadokk,163,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 1,2026-08-31,totsilence,201,Lander90,94,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 2,2026-08-31,dannyboy14,136,Lander90,128,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 3,2026-08-31,Lander90,269,Gutemetralla,261,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 4,2026-08-31,totsilence,178,dannyboy14,146,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 5,2026-08-31,totsilence,225,Gutemetralla,158,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 6,2026-08-31,dannyboy14,102,Gutemetralla,-2,,,,,2
Worlds 2026 Stage 6 - Lower 6 game 8,2026-08-31,dannyboy14,260,totsilence,210,Gutemetralla,184.0,,,3
Worlds 2026 Stage 6 - Lower 6 game 9,2026-08-31,Gutemetralla,210,dannyboy14,195,Lander90,168.0,,,3
Worlds 2026 Stage 6 - Lower 9 game 4,2026-08-31,Dantes,227,Spartan1337,181,,,,,2
Worlds 2026 Stage 6 - Lower 9 game 5,2026-08-31,ERock37,186,Dantes,110,,,,,2
Worlds 2026 Stage 6 - Lower 9 game 6,2026-08-31,ERock37,205,Spartan1337,172,,,,,2
Worlds 2026 Stage 6 - Lower 9 game 8,2026-08-31,Dantes,242,Spartan1337,183,ERock37,141.0,,,3
Worlds 2026 Stage 6 - Upper SF game 3,2026-08-31,a440,197,Wawrzyniec,172,,,,,2
