Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Sodium Season 14 - 30-Zinc 2 game 1,2026-06-05,Vi15So17,278,Michcio,207,maciek,196.0,Mammaklaskern,186.0,4
Sodium Season 14 - 37-Rubidium 1 game 1,2026-06-06,JoopHuizinga,256,tkornai,222,pavelceska,201.0,martinxjames,199.0,4
Sodium Season 14 - 10-Neon 4 game 1,2026-06-07,Marabu8,320,NateHiggersonJR,240,DonStino,205.0,BuddhaBoost,-5.0,4
Sodium Season 14 - 45-Rhodium 1 game 1,2026-06-07,DarKStyle,265,Malakesh,242,belowfox,223.0,Sellux,222.0,4
Sodium Season 14 - 18-Argon 2 game 1,2026-06-08,Jume,261,Cromlech,222,Sirovec,219.0,Suddoman,192.0,4
Sodium Season 14 - 30-Zinc 1 game 1,2026-06-08,larshb,227,Ratsia,207,Gubbstyv,206.0,Prashanth,111.0,4
Sodium Season 14 - 33-Arsenic 3 game 1,2026-06-08,chefung,242,aaaaa,181,Gandy,171.0,zackg,102.0,4
Sodium Season 14 - 35-Bromine 3 game 1,2026-06-08,methak,237,Proteus,208,Cresspahl,-3.0,JohnyT,-4.0,4
Sodium Season 14 - 36-Krypton 1 game 1,2026-06-08,BlueCardinal,378,Michal_Kossakowski,283,micropip,246.0,ChunkySam,180.0,4
Sodium Season 14 - 56-Barium game 1,2026-06-08,BoatyMcBoatface,186,mwi,170,wittr,167.0,saru,-5.0,4
Sodium Season 14 - 21-Scandium 1 game 1,2026-06-09,Rasputin,146,Claudius74,142,Larsusvonundzu,141.0,oleKanin,102.0,4
Sodium Season 14 - 36-Krypton 3 game 1,2026-06-09,GerwinW,204,JoshyWiggins,189,Mephist,185.0,Sarek,183.0,4
Sodium Season 14 - 60-Neodymium game 1,2026-06-09,Lander90,271,BlixLT,206,jantteri,186.0,Dantes,164.0,4
Sodium Season 14 - 19-Potassium 1 game 1,2026-06-10,Dakeyras,203,zhangyuchen,189,metternich,167.0,Gr33ny,156.0,4
Sodium Season 14 - 23-Vanadium 3 game 1,2026-06-10,petrau77,190,vgiannog,175,Bergen,173.0,Archangel,157.0,4
Sodium Season 14 - 29-Copper 3 game 1,2026-06-10,andykr,225,Cristiancordeu,162,Purplegoo,154.0,TheElk,140.0,4
Sodium Season 14 - 34-Selenium 2 game 1,2026-06-10,Sergeeeee,151,Bathman,149,fathope,123.0,sttailtw,-4.0,4
Sodium Season 14 - 46-Palladium 2 game 1,2026-06-10,LeoM,343,jhutc,340,Rajeev,237.0,PhiTrigger,222.0,4
Sodium Season 14 - 29-Copper 1 game 1,2026-06-11,Asperins,196,tnawrocki,120,Urist,119.0,KEIL,101.0,4
Sodium Season 14 - 31-Gallium 2 game 1,2026-06-11,michasz,274,RiRu,244,wartin,-5.0,chris223,-5.0,4
Sodium Season 14 - 42-Molybdenum 1 game 1,2026-06-11,Tasku,310,roverandom,305,DieKrake89,252.0,holy834,200.0,4
Sodium Season 14 - 46-Palladium 1 game 1,2026-06-11,Mkucharz,267,Gyphon,215,Jiffy,213.0,ElKhan,162.0,4
Sodium Season 14 - 62-Samarium game 1,2026-06-11,Dazzy,235,Sylvain,210,Martin_Pecheur,192.0,Boromir7,155.0,4
Sodium Season 14 - 28-Nickel game 1,2026-06-12,ThePerceptiveGamer,211,tysat,201,peppe76,169.0,woodabooga,-5.0,4
Sodium Season 14 - 34-Selenium 3 game 1,2026-06-12,gamblerch,270,collace,270,schwam,217.0,Faeyon,-5.0,4
Sodium Season 14 - 42-Molybdenum 3 game 1,2026-06-12,jezza101,308,DB.Starman,231,Sengir80,211.0,spaceport,206.0,4
Sodium Season 14 - 46-Palladium 3 game 1,2026-06-12,Sakic19,330,Padishar,311,TheKrunk,284.0,Dayvs,248.0,4
Sodium Season 14 - 48-Cadmium 2 game 1,2026-06-12,Kimmo,323,TorbenOfHerpes,259,Adamez,254.0,henrymerrivale,233.0,4
Sodium Season 14 - 53-Iodine 1 game 1,2026-06-12,zoldaria,245,GZ95,239,Cogito3,207.0,RestlessMe,178.0,4
