Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Sodium Season 15 - 10-Neon 2 game 1,2026-07-18,tjreasoner,407,Herminio,271,AnBeLi3v4bLe,265.0,CaNaLLA,259.0,4
Sodium Season 15 - 59-Praseodymium game 1,2026-07-18,BoatyMcBoatface,255,mwi,245,jantteri,242.0,zoldaria,203.0,4
Sodium Season 15 - 35-Bromine 1 game 1,2026-07-19,michasz,160,collace,160,Bookhouseboy,126.0,Mephist,120.0,4
Sodium Season 15 - 21-Scandium game 1,2026-07-20,Fullynice,212,z0pfel,212,Micha501,200.0,Redders,170.0,4
Sodium Season 15 - 36-Krypton 2 game 1,2026-07-20,Herdeksunek,255,theussner79,202,Dubz,200.0,Rolls.Royal,199.0,4
Sodium Season 15 - 37-Rubidium 1 game 1,2026-07-20,Sergeeeee,253,LeBonus,229,JoshyWiggins,229.0,EnozamaIV,216.0,4
Sodium Season 15 - 52-Tellurium game 1,2026-07-20,barboucha,279,wittr,273,Magnotta85,264.0,Fourierrr,225.0,4
Sodium Season 15 - 26-Iron 2 game 1,2026-07-21,KEIL,275,Dumnac,225,Francesco1812,197.0,peppe76,-5.0,4
Sodium Season 15 - 26-Iron 3 game 1,2026-07-21,Conzi,264,albinsix,251,MechJayTi2,245.0,marcusesses1,232.0,4
Sodium Season 15 - 38-Strontium 2 game 1,2026-07-21,humanmoves,277,methak,257,spaceport,255.0,jingjing123,-5.0,4
Sodium Season 15 - 63-Europium game 1,2026-07-21,Sylvain,229,Lander90,218,Martin_Pecheur,187.0,Pitor,172.0,4
Sodium Season 15 - 19-Potassium game 1,2026-07-22,Jume,348,Dienekes,292,Cromlech,280.0,Olunia,247.0,4
Sodium Season 15 - 22-Titanium 1 game 1,2026-07-22,EugeneB,274,luigino71,216,TeriyakiJaccuzi,210.0,justnomame,-5.0,4
Sodium Season 15 - 22-Titanium 2 game 1,2026-07-22,Shiffdog,251,BerdBlond,223,CuJ,216.0,KubikD,205.0,4
Sodium Season 15 - 31-Gallium 2 game 1,2026-07-22,TheYoungDutch,278,loMucho,217,Csannerud,189.0,Dakeyras,185.0,4
Sodium Season 15 - 35-Bromine 2 game 1,2026-07-22,schwam,275,Proteus,199,MBlueMan,177.0,icepick_mn,103.0,4
Sodium Season 15 - 42-Molybdenum 2 game 1,2026-07-22,GrandHedgehog,171,baodalanxin,115,Terence,-5.0,Gelato,-5.0,4
Sodium Season 15 - 43-Technetium 3 game 1,2026-07-22,Cooper,359,maunzzz,247,MoreHat,175.0,Dayvs,166.0,4
Sodium Season 15 - 50-Tin 2 game 1,2026-07-22,TorbenOfHerpes,140,Kay,135,Sakic19,121.0,LeoM,-4.0,4
Sodium Season 15 - 28-Nickel 1 game 1,2026-07-23,maciek,202,Froggy42,144,Tomtomparking,65.0,SeanHandley,40.0,4
Sodium Season 15 - 28-Nickel 2 game 1,2026-07-23,MaxBoomer,258,Purplegoo,251,baggioka,214.0,chris223,211.0,4
Sodium Season 15 - 34-Selenium 4 game 1,2026-07-23,Lammoth,261,aaaaa,208,McNulty,175.0,Bathman,106.0,4
Sodium Season 15 - 37-Rubidium 2 game 1,2026-07-23,tkornai,308,Daemon3142,281,MurphyAKL,253.0,pdx,-5.0,4
Sodium Season 15 - 47-Silver 1 game 1,2026-07-23,condemor,315,Gagic,313,jhutc,257.0,gabev,197.0,4
Sodium Season 15 - 50-Tin 1 game 1,2026-07-23,Papaver,288,daimx,278,Trond79,272.0,Kimmo,226.0,4
Sodium Season 15 - 55-Cesium 1 game 1,2026-07-23,Lech,179,Brightfuture,176,Raffaello,174.0,Sonder.,156.0,4
Sodium Season 15 - 30-Zinc 2 game 1,2026-07-24,Diogenes,287,J-dog,252,GamesClaw,232.0,kaeptnblaubaer,227.0,4
Sodium Season 15 - 30-Zinc 3 game 1,2026-07-24,Quokka,194,sttailtw,168,Tomy_hexaper,161.0,Jmstoic,119.0,4
Sodium Season 15 - 33-Arsenic 1 game 1,2026-07-24,Gandy,182,Michcio,148,CloneFish,147.0,Sarek,133.0,4
Sodium Season 15 - 33-Arsenic 2 game 1,2026-07-24,Mike1313,238,SKJaCaRD,216,saiggo16,208.0,Legoman,190.0,4
Sodium Season 15 - 33-Arsenic 3 game 1,2026-07-24,Parcival,289,JohnyT,235,Rob13,153.0,RiRu,151.0,4
Sodium Season 15 - 36-Krypton 3 game 1,2026-07-24,gamblerch,317,ThePerceptiveGamer,282,Michal_Kossakowski,281.0,chefung,216.0,4
Sodium Season 15 - 44-Ruthenium 2 game 1,2026-07-24,PlanarFreak,244,Sellux,236,ElKhan,218.0,TheKrunk,207.0,4
Sodium Season 15 - 10-Neon 1 game 1,2026-07-25,OhNoItsNot,310,Argionelite,151,chessmonster,89.0,fengmufeng,-5.0,4
Sodium Season 15 - 16-Sulfur 2 game 1,2026-07-25,Sirovec,225,Rob51,210,Suddoman,201.0,2da6,-5.0,4
Sodium Season 15 - 33-Arsenic 4 game 1,2026-07-25,Vi15So17,267,comant,212,andykr,209.0,nerficya,149.0,4
Sodium Season 15 - 36-Krypton 1 game 1,2026-07-25,Radvan,233,nicg,202,taltal,173.0,Saerleon,155.0,4
Sodium Season 15 - 17-Chlorine game 1,2026-07-26,t-k-421,259,Dvd75,186,Exile,163.0,prozio,-5.0,4
Sodium Season 15 - 22-Titanium 3 game 1,2026-07-26,Mitchum,203,firlefanzer,201,Franzy,-3.0,Sapiocek,-5.0,4
Sodium Season 15 - 41-Niobium 1 game 1,2026-07-26,Sengir80,225,Oleksandr,174,Depp,158.0,TrilceAC,139.0,4
Sodium Season 15 - 46-Palladium 2 game 1,2026-07-26,jezza101,245,Dragonite,210,Adamez,201.0,ElTanque35,162.0,4
Sodium Season 15 - 18-Argon 2 game 1,2026-07-27,Vegeta4791,299,HolyOutlaw,248,oleKanin,233.0,Rebel_Rebs,176.0,4
Sodium Season 15 - 26-Iron 4 game 1,2026-07-27,Garban7,149,petrau77,142,Panxo,136.0,Jolli,119.0,4
Sodium Season 15 - 30-Zinc 1 game 1,2026-07-27,FireBones,307,Pulpecja,283,Tyrtaios,270.0,tnawrocki,268.0,4
Sodium Season 15 - 32-Germanium 2 game 1,2026-07-27,ChunkySam,332,sausagesky,261,aoe2champ,258.0,Ekdezel,231.0,4
Sodium Season 15 - 34-Selenium 2 game 1,2026-07-27,Aaronwebber,287,martinxjames,273,IpaStian,195.0,Cresspahl,189.0,4
Sodium Season 15 - 44-Ruthenium 1 game 1,2026-07-27,Tasku,305,belowfox,283,ed_vins,222.0,haimke,194.0,4
Sodium Season 15 - 48-Cadmium game 1,2026-07-27,Gyphon,293,LeonidasI,271,Padishar,264.0,Turdle,176.0,4
Sodium Season 15 - Sodium Tier game 1,2026-07-27,Grozz,238,Dazzy,208,Arne,201.0,yaop,183.0,4
Sodium Season 15 - 34-Selenium 3 game 1,2026-07-28,Ddafaith,234,LordHomeOffice,224,micropip,184.0,migoet,182.0,4
Sodium Season 15 - 39-Yttrium 1 game 1,2026-07-28,BuWu,163,Ralf-TtA,154,CrownKiller,150.0,Masox,143.0,4
Sodium Season 15 - 8-Oxygen game 1,2026-07-28,anonaki,319,Icarium,251,PacoHolliday,226.0,BuddhaBoost,214.0,4
Sodium Season 15 - 16-Sulfur 1 game 1,2026-07-29,Gr33ny,280,mooscolly,248,Kruch,213.0,abobey,-5.0,4
Sodium Season 15 - 18-Argon 1 game 1,2026-07-29,Monik,257,Jesaphi,204,Melon6688,185.0,metternich,174.0,4
Sodium Season 15 - 20-Calcium game 1,2026-07-29,zhangyuchen,178,Rick80,143,Larsusvonundzu,99.0,KTown,-4.0,4
Sodium Season 15 - 23-Vanadium game 1,2026-07-29,Bergen,247,Dzsabo,196,vbogoev,-5.0,TribunX,-5.0,4
