group,player,place,games,points,timeouts,result,tie-break
Knight 22,zhenshide,1,6,12,0,2,1-0
Knight 22,ReneTTA,2,6,8,0,1,
Knight 22,Jochabeth,3,6,6,0,,
Knight 22,Tutux,4,6,6,1,,
Knight 22,Claudius74,5,6,4,0,,
Knight 22,Dunketelin,6,6,4,0,,
Knight 22,Panxo,7,6,2,0,,
Knight 22,pepinecko,8,0,0,0,,
Knight 23,Rob51,1,6,10,0,1,
Knight 23,maunzzz,2,6,10,0,1,
Knight 23,Kozzilla,3,6,6,1,,
Knight 23,LeSauvage,4,6,6,0,,
Knight 23,FabioMP,5,6,4,1,,
Knight 23,Asperins,6,6,4,0,,
Knight 23,Sirovec,7,6,2,0,,
Knight 23,MikeyB,8,0,0,0,,
