Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
French Open 2026 - group 34 game 1,2026-06-21,Bad_Horse,290,Boromir7,259,Exile,232.0,Aardwolf44,132.0,4
French Open 2026 - group 6 game 1,2026-06-21,Sirkopczyk,242,Praetorianer,206,DonutRapist,188.0,nchenche,-5.0,4
French Open 2026 - group 63 game 1,2026-06-21,baggioka,212,Vi15So17,174,Camy,168.0,taltal,-5.0,4
French Open 2026 - group 72 game 1,2026-06-21,minzent,239,Kuter,233,Amara,204.0,albinsix,200.0,4
French Open 2026 - group 10 game 1,2026-06-22,Terence,392,Dovi,294,traskmania,250.0,ctcheung,245.0,4
French Open 2026 - group 110 game 1,2026-06-22,IpaStian,291,BureRF,279,Schedar,272.0,ulkupayaya,231.0,4
French Open 2026 - group 122 game 1,2026-06-22,Lenni010,344,IngussTT,-5,DBaker17,-5.0,Sopelek,-5.0,4
French Open 2026 - group 136 game 1,2026-06-22,ElKhan,349,Ferris,251,gusanitocruz,241.0,Gr33ny,188.0,4
French Open 2026 - group 138 game 1,2026-06-22,joecackler,202,Gramadancho,186,kaeptnblaubaer,185.0,Jaja,172.0,4
French Open 2026 - group 142 game 1,2026-06-22,EmiratesOfHacan,227,baralex,211,OrionAlpha,130.0,Djinges,-5.0,4
French Open 2026 - group 166 game 1,2026-06-22,Lander90,249,leothelion,228,brainac,185.0,Dexray,138.0,4
French Open 2026 - group 19 game 1,2026-06-22,Waaaaaa,210,_sleepwalker,201,Oso,-3.0,Monty1979,-4.0,4
French Open 2026 - group 26 game 1,2026-06-22,theussner79,264,FirstOfDao,236,jjk,218.0,janbandit,-5.0,4
French Open 2026 - group 40 game 1,2026-06-22,funestus,241,LJSHUEN,230,JoshyWiggins,178.0,tupper,175.0,4
French Open 2026 - group 42 game 1,2026-06-22,PhiTrigger,269,Bromios,228,Dvale112,213.0,Franzy,160.0,4
