Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Mercurial Season 35 - 2-Helium 1 game 1,2026-06-16,Pigeonpostman,150,Rob51,132,DonStino,77.0,,,3
Mercurial Season 35 - 17-Chlorine 1 game 1,2026-06-17,BoatyMcBoatface,196,maunzzz,185,amaj,165.0,,,3
Mercurial Season 35 - 4-Beryllium 4 game 1,2026-06-17,ogre44444,324,Dumnac,305,buso1705,158.0,,,3
Mercurial Season 35 - 0-Tier 1 game 1,2026-06-18,BuddhaBoost,236,justnomame,229,Teadiddy14,-5.0,,,3
Mercurial Season 35 - 11-Sodium 5 game 1,2026-06-18,jokerchai,292,Dubz,221,Faeyon,-5.0,,,3
Mercurial Season 35 - 12-Magnesium 4 game 1,2026-06-18,LeoM,247,CloneFish,230,Bizniouf,195.0,,,3
Mercurial Season 35 - 21-Scandium 2 game 1,2026-06-18,ed_vins,212,Dantes,200,BlixLT,148.0,,,3
Mercurial Season 35 - 6-Carbon 4 game 1,2026-06-18,TeriyakiJaccuzi,254,GerwinW,232,Claudius74,144.0,,,3
Mercurial Season 35 - 10-Neon 1 game 1,2026-06-19,JoshyWiggins,187,JoopHuizinga,168,abobey,-5.0,,,3
Mercurial Season 35 - 12-Magnesium 1 game 1,2026-06-19,ElTanque35,238,loMucho,185,pavelceska,145.0,,,3
Mercurial Season 35 - 14-Silicon 1 game 1,2026-06-19,FunkyLere,217,GrandHedgehog,211,baodalanxin,167.0,,,3
Mercurial Season 35 - 19-Potassium 3 game 1,2026-06-19,Fourierrr,276,MrBiz,263,Turdle,239.0,,,3
Mercurial Season 35 - 4-Beryllium 3 game 1,2026-06-19,Micha501,311,Pulpecja,281,OrionAlpha,230.0,,,3
Mercurial Season 35 - 7-Nitrogen 2 game 1,2026-06-19,jmcj,183,AsKier,165,kaeptnblaubaer,151.0,,,3
Mercurial Season 35 - 8-Oxygen 6 game 1,2026-06-19,Depp,216,bambi4,145,GamesClaw,129.0,,,3
Mercurial Season 35 - 10-Neon 4 game 1,2026-06-20,Gandy,153,theussner79,150,boogy5,115.0,,,3
Mercurial Season 35 - 12-Magnesium 2 game 1,2026-06-20,JohnyT,247,Bergen,224,Conzi,187.0,,,3
Mercurial Season 35 - 13-Aluminium 2 game 1,2026-06-20,sergilicious,245,Garghiii,178,Herdeksunek,162.0,,,3
Mercurial Season 35 - 13-Aluminium 7 game 1,2026-06-20,Mephist,182,Rajeev,165,CRocky,147.0,,,3
Mercurial Season 35 - 16-Sulfur 3 game 1,2026-06-20,jhutc,192,nerficya,120,TorbenOfHerpes,114.0,,,3
