Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
TCL Round 138 - Rung 16 game 1,2026-06-23,Lander90,291,Zathio,248,maumastoks,232.0,,,3
TCL Round 138 - Rung 21 game 1,2026-06-24,barboucha,256,Magesolo,140,Rajeev,137.0,,,3
TCL Round 138 - Rung 22 game 1,2026-06-24,MrBiz,115,ArthursDad,99,Victory7,-3.0,,,3
TCL Round 138 - Rung 10 game 1,2026-06-26,ChipsAhoya,267,ElKhan,251,Daemon3142,157.0,,,3
TCL Round 138 - Rung 14 game 1,2026-06-26,Bergen,316,Dantes,307,Hardco,263.0,,,3
TCL Round 138 - Rung 15 game 1,2026-06-26,Raffaello,311,HomerJr,223,Ricicle,203.0,,,3
TCL Round 138 - Rung 19 game 1,2026-06-27,lhrljr,183,Garghiii,168,Colorado,164.0,,,3
TCL Round 138 - Rung 17 game 1,2026-06-28,jhutc,190,Kay,152,maunzzz,102.0,,,3
TCL Round 138 - Rung 20 game 1,2026-06-29,Budde,240,Pelej,208,AdiQue,186.0,,,3
TCL Round 138 - Rung 3 game 1,2026-06-29,Grozz,162,totsilence,125,pajada,85.0,,,3
TCL Round 138 - Rung 12 game 1,2026-06-30,PhiTrigger,343,TrilceAC,264,gamblerch,208.0,,,3
TCL Round 138 - Rung 5 game 1,2026-06-30,Tamirys,208,takusto_II,203,PlanarFreak,193.0,,,3
TCL Round 138 - Rung 8 game 1,2026-06-30,delonecarter,200,ktroop,175,mlhibou,156.0,,,3
TCL Round 138 - Rung 7 game 1,2026-07-02,Fourierrr,191,mwi,190,DrRerNate,177.0,,,3
TCL Round 138 - Rung 4 game 1,2026-07-03,Majondor,245,Eepogi,201,Kimmo,200.0,,,3
TCL Round 138 - Rung 1 game 1,2026-07-06,wolvs,279,DireNTropy,231,Weidenbaum,216.0,,,3
TCL Round 138 - Rung 6 game 1,2026-07-06,BlixLT,222,cpp,180,Gavatron,176.0,,,3
TCL Round 138 - Rung 9 game 1,2026-07-06,kenchan,187,HeirOfValyria,167,Arne,130.0,,,3
TCL Round 138 - Rung 18 game 1,2026-07-07,GerisNezus,249,ElDiabloAzul,183,Thisisnotasmile,172.0,,,3
TCL Round 138 - Rung 2 game 1,2026-07-07,AaronGreen,209,Martin_Pecheur,176,Palino,164.0,,,3
TCL Round 138 - Rung 11 game 1,2026-07-08,Sektat,231,Cogito3,174,Ristey,151.0,,,3
TCL Round 138 - Rung 13 game 1,2026-07-09,raist,140,Firedart,134,MurphyAKL,108.0,,,3
